family_letter,family_code,family_label,family_production_enabled,observation_raw_key,observation_label,observation_short_label,disposition,source,definition,boolean_question,yes_meaning,yes_label,yes_message,no_meaning,no_message,plain_language_copy,mapped_messages,notes
A,parent_relation,How it relates to the parent,true,questions_parent,Questions parent,Questions,future_source,ai_classifier,This move asks a substantive question about the parent.,"Does this move ask a substantive question about the parent's claim, evidence, or reasoning (not just a clarification)?","The move poses a real question that probes the parent's basis: 'how do you square that with X?'; 'what would falsify this?'; 'have you considered Y?'. The question carries genuine engagement, not just clarification.",Questions parent,(none),"The move is a pure clarification request (requests_clarification), a challenge framed as a question (challenges_parent), or rhetorical question with no engagement.",not observed / did not fire,(none),Questions parent; Questions; This move asks a substantive question about the parent.,future-source (not rendered in v1)
A,parent_relation,How it relates to the parent,true,summarizes_parent,Summarizes parent,Summary,future_source,ai_classifier,This move summarizes the parent's position.,Does this move summarize the parent's position in its own words?,"The move restates the parent's position in compressed form, preserving the parent's intent. May be in service of a follow-up move (challenge, support, refine) or stand on its own.",Summarizes parent,(none),"The move quotes the parent verbatim (quote_anchors_parent), paraphrases inaccurately, or proceeds without restating.",not observed / did not fire,(none),Summarizes parent; Summary; This move summarizes the parent's position.,future-source (not rendered in v1)
A,parent_relation,How it relates to the parent,true,acknowledges_parent,Acknowledges parent,Ack,future_source,ai_classifier,This move acknowledges the parent without disputing or adding.,"Does this move express acknowledgement of the parent ('OK', 'I see', 'fair point') without adding substantive content?","The move signals agreement, understanding, or willingness to engage, but adds no substantive support, refinement, challenge, or extension.",Acknowledges parent,(none),The move adds substantive content beyond acknowledgement (which would be supports_parent / extends_parent / refines_parent etc.).,not observed / did not fire,(none),Acknowledges parent; Ack; This move acknowledges the parent without disputing or adding.,future-source (not rendered in v1)
A,parent_relation,How it relates to the parent,true,corrects_parent_detail,Corrects parent detail,Corrects,future_source,ai_classifier,This move corrects a specific factual detail in the parent.,"Does this move correct a specific factual detail in the parent (a number, name, date, attribution) without challenging the parent's overall claim?","The move points out an error in a specific factual detail and offers the correct value, while leaving the parent's main claim intact. Narrower than challenges_parent.",Corrects parent detail,(none),"The move challenges the parent's overall claim, or quibbles with detail without offering a correction, or asks for clarification about the detail.",not observed / did not fire,(none),Corrects parent detail; Corrects; This move corrects a specific factual detail in the parent.,future-source (not rendered in v1)
A,parent_relation,How it relates to the parent,true,contrasts_with_parent,Contrasts with parent,Contrasts,future_source,ai_classifier,This move draws a contrast that highlights a tension with the parent.,Does this move draw a contrast between two cases / examples / domains to highlight a tension with the parent's claim?,"The move presents a comparison ('whereas X, Y') in service of showing the parent's claim does not hold uniformly. The contrast is the move's main vehicle.",Contrasts with parent,(none),"The move offers a direct challenge, supports with a similar case, distinguishes within the parent's scope (distinguishes_parent), or extends.",not observed / did not fire,(none),Contrasts with parent; Contrasts; This move draws a contrast that highlights a tension with the parent.,future-source (not rendered in v1)
A,parent_relation,How it relates to the parent,true,answers_parent_question,Answers parent question,Answers,future_source,ai_classifier,This move answers a question posed by the parent.,Does this move answer a question that was posed in the parent move?,"The parent contained a question (request for evidence, clarification, or substantive question). The move provides a direct response to that question.",Answers parent question,(none),"The parent contained no question, or the move ignores the question and responds to something else, or the move is a counter-question without an answer.",not observed / did not fire,(none),Answers parent question; Answers; This move answers a question posed by the parent.,future-source (not rendered in v1)
B,disagreement_axis,What the disagreement is about,true,disputes_evidence_applicability,Evidence applicability challenged,App. dispute,future_source,ai_classifier,The applicability of evidence is challenged.,Does this move challenge the APPLICABILITY of the evidence the parent (or a prior move) cited — arguing that the evidence does not actually bear on the claim?,"The move accepts that the cited evidence exists and is correct, but argues that it does not apply to the claim at hand — wrong population, wrong time period, wrong setting, wrong measurement, or wrong inferential step.",Evidence applicability challenged,(none),"The move challenges the evidence's factual accuracy (that is evidence_quality_questioned in Family D), the underlying claim directly (challenges_parent in Family A), or asks for evidence (asks_for_evidence in Family D).",not observed / did not fire,(none),Evidence applicability challenged; App. dispute; The applicability of evidence is challenged.,future-source (not rendered in v1)
B,disagreement_axis,What the disagreement is about,true,disagreement_present,Disagreement,Disagrees,future_source,ai_classifier,This move expresses disagreement with its parent.,"Does this move express disagreement with any aspect of its parent (claim, scope, definition, causal link, evidence, value, etc.)?","The move signals at least one disagreement axis with the parent: factual disagreement, scope challenge, definitional dispute, evidence-applicability challenge, causal disagreement, value disagreement, priority disagreement, or generalization challenge.",Disagreement,(none),"The move supports, refines (narrows on the same side), extends to a different axis, acknowledges, summarizes, or is purely a clarification request. Pure agreement, pure question-for-clarification, or pure same-side extension is NOT disagreement.",not observed / did not fire,(none),Disagreement; Disagrees; This move expresses disagreement with its parent.,future-source (not rendered in v1)
B,disagreement_axis,What the disagreement is about,true,disputes_definition,Disputes definition,Def. dispute,future_source,ai_classifier,This move disputes how a term is defined.,Does this move dispute the parent's definition of a key term — arguing the term should be defined differently?,"The move targets a definition the parent assumed: 'when you say infrastructure, that includes/excludes X'; 'efficiency means Y, not Z'; 'the right unit is per-resident, not per-county'. Definitional disagreement is the move's main thrust.",Disputes definition,(none),"The move disputes facts within an accepted definition, asks for definitional clarification (Family C requests_clarification), or proposes a shared definition (Family C proposes_shared_definition — collaborative, not adversarial).",not observed / did not fire,(none),Disputes definition; Def. dispute; This move disputes how a term is defined.,future-source (not rendered in v1)
B,disagreement_axis,What the disagreement is about,true,disputes_scope,Disputes scope,Scope dispute,future_source,ai_classifier,This move disputes the scope of the parent's claim.,"Does this move dispute the SCOPE of the parent's claim — arguing the claim applies only to a narrower or different population, setting, or time window?",The move argues the parent's claim does not generalize to the full scope the parent implied. The challenge identifies a specific exclusion: 'true for X but not Y'; 'works in the short term but not long term'; 'applies in dense cities but not rural'.,Disputes scope,(none),"The move challenges the claim within its accepted scope (challenges_parent), refines scope collaboratively (refines_parent), or asks about scope (questions_parent).",not observed / did not fire,(none),Disputes scope; Scope dispute; This move disputes the scope of the parent's claim.,future-source (not rendered in v1)
B,disagreement_axis,What the disagreement is about,true,disputes_fact,Disputes fact,Fact dispute,future_source,ai_classifier,This move disputes a specific factual claim.,"Does this move dispute a specific factual claim in the parent (a number, an event, an attribution, a measurement)?","The move identifies a specific factual claim in the parent and offers a counter-claim ('the figure is X, not Y'; 'the event happened in 2019, not 2020'; 'that was the Jones paper, not Smith').",Disputes fact,(none),"The move offers a correction of a non-disputed detail (corrects_parent_detail in Family A — supportive correction), disputes scope/applicability/definition rather than fact, or asks for evidence.",not observed / did not fire,(none),Disputes fact; Fact dispute; This move disputes a specific factual claim.,future-source (not rendered in v1)
B,disagreement_axis,What the disagreement is about,true,disputes_causal_link,Disputes causal link,Causal dispute,future_source,ai_classifier,This move disputes a causal claim in the parent.,Does this move dispute that the parent's claimed cause actually causes the claimed effect (or that the direction of causation is right)?,"The move argues against the causal link: 'X does not cause Y'; 'correlation is not causation here'; 'the causation runs the other way'; 'the real cause is Z, not X'.",Disputes causal link,(none),"The move accepts the causation and disputes the magnitude (disputes_fact), the applicability (disputes_evidence_applicability), or scope (disputes_scope). The move questions causation without asserting an alternative (more like questions_parent).",not observed / did not fire,(none),Disputes causal link; Causal dispute; This move disputes a causal claim in the parent.,future-source (not rendered in v1)
B,disagreement_axis,What the disagreement is about,true,disputes_value_weighting,Disputes value weighting,Value dispute,future_source,ai_classifier,This move disputes how the parent weights competing values.,Does this move dispute how the parent weights competing values — arguing a different value should take priority?,"The move accepts the empirical landscape and disputes how the parent weights values: 'efficiency matters but equity matters more here'; 'security and privacy are both real, but privacy should win'. The disagreement is normative.",Disputes value weighting,(none),"The move disputes facts, scope, definition, or evidence — not values. The move proposes a synthesis of values (Family G synthesis_proposed) without disputing the parent's weighting.",not observed / did not fire,(none),Disputes value weighting; Value dispute; This move disputes how the parent weights competing values.,future-source (not rendered in v1)
B,disagreement_axis,What the disagreement is about,true,disputes_decision_criterion,Disputes decision criterion,Crit. dispute,future_source,ai_classifier,This move disputes the criterion being used to evaluate the decision.,Does this move dispute the CRITERION the parent uses to evaluate the decision — arguing a different criterion should govern?,"The parent applies a decision criterion (cost, effectiveness, fairness, feasibility, etc.). The move argues a different criterion should govern: 'cost is not the right test here — feasibility is'; 'effectiveness without equity is the wrong frame'.",Disputes decision criterion,(none),"The move accepts the criterion and disputes facts or weight within it. The move proposes a synthesis of criteria. Pure value disagreement (disputes_value_weighting) is closely related but criterion is the evaluation procedure, value is the underlying good.",not observed / did not fire,(none),Disputes decision criterion; Crit. dispute; This move disputes the criterion being used to evaluate the decision.,future-source (not rendered in v1)
B,disagreement_axis,What the disagreement is about,true,disputes_generalization,Disputes generalization,Gen. dispute,future_source,ai_classifier,This move disputes a generalization in the parent.,Does this move dispute a generalization the parent made — arguing from a specific case to challenge a universal claim?,The move offers one or more counter-examples to a parent generalization: 'you say X is always true; here is a case where X is false'. Often takes the form 'all/most X are Y → but here are X that are not Y'.,Disputes generalization,(none),The move disputes scope (which is the universal/particular dimension) rather than a generalization per se. The move offers a counter-example as a refinement (refines_parent) rather than as a generalization-challenge.,not observed / did not fire,(none),Disputes generalization; Gen. dispute; This move disputes a generalization in the parent.,future-source (not rendered in v1)
B,disagreement_axis,What the disagreement is about,true,disputes_analogy,Disputes analogy,Analogy disp.,future_source,ai_classifier,This move disputes an analogy the parent used.,Does this move dispute an analogy the parent used — arguing that the source case does not map to the target case?,The parent used an analogy (X is like Y; from Y we infer Z about X). The move challenges the mapping: 'X is not like Y in the relevant respect'; 'Y\'s lesson does not transfer because of difference D'.,Disputes analogy,(none),"The move offers a counter-analogy (introduces_new_issue with an analogy frame), accepts the analogy and challenges its inference, or extends the analogy (extends_parent).",not observed / did not fire,(none),Disputes analogy; Analogy disp.; This move disputes an analogy the parent used.,future-source (not rendered in v1)
B,disagreement_axis,What the disagreement is about,true,disputes_interpretation,Disputes interpretation,Interp. disp.,future_source,ai_classifier,This move disputes the parent's interpretation of evidence or text.,"Does this move dispute the parent's interpretation of a shared piece of evidence, text, or event — arguing for a different reading?",Both sides share a piece of evidence / text / event. The move argues the parent's interpretation is one reading but not the only one; offers an alternate reading and reasons for it.,Disputes interpretation,(none),"The move offers a new piece of evidence (provides_evidence, Family D), questions the applicability (disputes_evidence_applicability), or challenges the underlying fact (disputes_fact). The move offers an alternate interpretation collaboratively (Family C provides_alternate_interpretation).",not observed / did not fire,(none),Disputes interpretation; Interp. disp.; This move disputes the parent's interpretation of evidence or text.,future-source (not rendered in v1)
B,disagreement_axis,What the disagreement is about,true,disputes_priority_order,Disputes priority order,Prio dispute,future_source,ai_classifier,This move disputes the order in which the parent prioritizes options.,Does this move dispute the priority order the parent assigned to options — arguing for a different sequencing?,"The parent ordered options (do X before Y, address A then B). The move argues for a different priority: 'Y before X'; 'address B first because of dependency D'.",Disputes priority order,(none),"The move disputes that one of the options should be pursued at all (challenges_parent), disputes the criterion used to set priorities (disputes_decision_criterion), or proposes adding/removing an option from the list.",not observed / did not fire,(none),Disputes priority order; Prio dispute; This move disputes the order in which the parent prioritizes options.,future-source (not rendered in v1)
B,disagreement_axis,What the disagreement is about,true,disputes_remedy_or_solution,Disputes remedy,Remedy disp.,future_source,ai_classifier,This move disputes the proposed remedy or solution.,Does this move accept the problem framing but dispute the proposed remedy / solution — arguing for a different fix?,"Parent diagnoses a problem and proposes a remedy. The move accepts the diagnosis but argues the proposed remedy will not work, has side effects, or is inferior to an alternative remedy.",Disputes remedy,(none),"The move disputes the diagnosis itself (challenges_parent), accepts the remedy with refinements (refines_parent), or proposes an additive remedy (extends_parent).",not observed / did not fire,(none),Disputes remedy; Remedy disp.; This move disputes the proposed remedy or solution.,future-source (not rendered in v1)
B,disagreement_axis,What the disagreement is about,true,disputes_relevance,Disputes relevance,Relev. disp.,future_source,ai_classifier,This move disputes that the parent's point is relevant.,Does this move dispute that the parent's point is RELEVANT to the topic under discussion?,The move accepts the parent's point may be true but argues it does not bear on the current question. 'That is interesting but tangential'; 'true but unrelated to whether X should happen'.,Disputes relevance,(none),The move accepts relevance and disputes facts/scope/etc. The move says the topic itself should change (introduces_new_issue / reframes_parent). Pure tangent flag without engagement is just dismissal.,not observed / did not fire,(none),Disputes relevance; Relev. disp.; This move disputes that the parent's point is relevant.,future-source (not rendered in v1)
C,misunderstanding_repair,Where it clears up confusion,true,clarified,Clarified,Clarified,rendered_now,lifecycle,A clarification was provided in this cluster.,"Is this cluster in the ""clarified"" lifecycle state — a clarification request was answered with a clarifying response?",A lifecycle state where the cluster contains a clarification request and at least one clarifying response (answers_clarification or equivalent repair move).,Clarified,Clarified,"The cluster has no clarification request, or the request is open with no answer, or the request was answered with a non-clarifying move.",not observed / did not fire,Clarified,Clarified; A clarification was provided in this cluster.,
C,misunderstanding_repair,Where it clears up confusion,true,requests_clarification,Clarification asked,Clarify?,future_source,ai_classifier,A clarification is requested here.,"Does this move ask the parent's poster to clarify a term, claim, scope, or reasoning step?","The move poses a question seeking a restatement, definition, scope, or elaboration. 'What do you mean by X?'; 'how broad is this claim?'; 'do you mean the 2020 or 2024 data?'. Pure clarification — no challenge attached.",Clarification asked,(none),"The move offers a candidate understanding (offers_candidate_understanding), challenges packaged as a question (challenges_parent), or asks for evidence (asks_for_evidence, Family D).",not observed / did not fire,(none),Clarification asked; Clarify?; A clarification is requested here.,future-source (not rendered in v1)
C,misunderstanding_repair,Where it clears up confusion,true,answers_clarification,Clarification answered,Clarified,future_source,ai_classifier,A clarification was answered here.,Does this move provide a substantive answer to a clarification request from the parent?,"The move responds to a clarification request with a substantive answer: a definition, a scope, an elaboration, a restatement. Closes the clarification cycle.",Clarification answered,(none),"The move evades the question, offers a counter-question, or responds with new content unrelated to the clarification.",not observed / did not fire,(none),Clarification answered; Clarified; A clarification was answered here.,future-source (not rendered in v1)
C,misunderstanding_repair,Where it clears up confusion,true,provides_alternate_interpretation,Alternate reading,Alt read,future_source,ai_classifier,An alternate interpretation is offered.,"Does this move offer an alternate interpretation of the parent (or a prior move's) text or evidence, framed collaboratively rather than adversarially?","The move offers a different reading of the parent's text / evidence, inviting consideration rather than disputing. 'Could it also mean Y?'; 'another reading is Z; what do you think?'. Collaborative.",Alternate reading,(none),"The move disputes the interpretation directly (disputes_interpretation, Family B), offers a counter-claim without inviting consideration, or asks a pure clarification.",not observed / did not fire,(none),Alternate reading; Alt read; An alternate interpretation is offered.,future-source (not rendered in v1)
C,misunderstanding_repair,Where it clears up confusion,true,offers_candidate_understanding,Offers candidate understanding,"""Do you mean...""",future_source,ai_classifier,This move offers a paraphrase of the parent's claim for confirmation.,Does this move offer a paraphrase of the parent's claim and ask the parent's poster to confirm or correct that paraphrase?,The move restates the parent's claim in its own words (a 'candidate understanding') AND signals openness to correction. The move signals 'do you mean X?' explicitly OR via paraphrase + invitation to correct.,Offers candidate understanding,(none),"The move quotes the parent verbatim without paraphrasing, OR paraphrases without inviting correction, OR asks for clarification without offering a candidate. Pure question ('what do you mean?') is requests_clarification, not this.",not observed / did not fire,(none),"Offers candidate understanding; ""Do you mean...""; This move offers a paraphrase of the parent's claim for confirmation.",future-source (not rendered in v1)
C,misunderstanding_repair,Where it clears up confusion,true,confirms_understanding,Confirms candidate,Confirms,future_source,ai_classifier,This move confirms a candidate understanding the parent offered.,"Does this move confirm a candidate understanding that the parent offered, sealing the grounding cycle?","The parent offered a candidate understanding ('do you mean X?'). The move confirms: 'yes, that is right'; 'exactly'; 'you have it'. Closes the grounding cycle on the affirmative side.",Confirms candidate,(none),"The parent offered no candidate understanding (so there is nothing to confirm), or the move corrects rather than confirms (rejects_candidate_understanding), or the move adds substantive new content.",not observed / did not fire,(none),Confirms candidate; Confirms; This move confirms a candidate understanding the parent offered.,future-source (not rendered in v1)
C,misunderstanding_repair,Where it clears up confusion,true,rejects_candidate_understanding,Corrects candidate,Corrects,future_source,ai_classifier,This move corrects the candidate understanding the parent offered.,Does this move reject the candidate understanding offered by the parent and provide a corrected version?,"Parent offered candidate understanding ('do you mean X?'); the move rejects X and offers the correct paraphrase: 'no, I mean Y'. Symmetric counterpart to confirms_understanding.",Corrects candidate,(none),"Parent offered no candidate understanding, the move confirms (confirms_understanding), or the move challenges substantively rather than correcting the paraphrase.",not observed / did not fire,(none),Corrects candidate; Corrects; This move corrects the candidate understanding the parent offered.,future-source (not rendered in v1)
C,misunderstanding_repair,Where it clears up confusion,true,requests_restatement,Asks for restatement,Restate?,future_source,ai_classifier,This move asks the parent to restate their position.,Does this move ask the parent's poster to restate their position (without asking for new content)?,The move signals 'can you say that again?' / 'I lost the thread' / 'can you rephrase' — a request for restatement without substantive challenge or candidate understanding.,Asks for restatement,(none),The move asks for clarification (different — clarification is asking for definitional / scope precision; restatement is asking for rephrasing). The move offers a candidate understanding instead.,not observed / did not fire,(none),Asks for restatement; Restate?; This move asks the parent to restate their position.,future-source (not rendered in v1)
C,misunderstanding_repair,Where it clears up confusion,true,self_initiates_self_repair,Self-repair,Self-repair,future_source,ai_classifier,The author self-initiates a correction or clarification of their own prior move.,"Does this move's author self-correct or self-clarify their own prior move, without being prompted to?","The author posts a follow-up that corrects, clarifies, or refines their own earlier move. Schegloff/Sacks 'self-initiated self-repair'.",Self-repair,(none),The author is responding to a prompt (request for clarification / challenge / correction) from another participant — that is other-initiated repair (other_initiates_repair) or answers_clarification.,not observed / did not fire,(none),Self-repair; The author self-initiates a correction or clarification of their own prior move.,future-source (not rendered in v1)
C,misunderstanding_repair,Where it clears up confusion,true,other_initiates_repair,Other-initiated repair,Repair?,future_source,ai_classifier,This move initiates repair of a prior move by a different participant.,"Does this move initiate repair on a prior move from a different participant (asking for clarification, correction, or restatement)?","A participant other than the parent's author initiates repair: requests_clarification, requests_restatement, offers_candidate_understanding, flags_term_ambiguity, etc. Schegloff/Sacks 'other-initiated repair'.",Other-initiated repair,(none),Self-initiated repair (self_initiates_self_repair) is the symmetric counterpart. Substantive disagreement is not repair (challenges_parent).,not observed / did not fire,(none),Other-initiated repair; Repair?; This move initiates repair of a prior move by a different participant.,future-source (not rendered in v1)
C,misunderstanding_repair,Where it clears up confusion,true,acknowledges_misread,Acknowledges misread,Misread,future_source,ai_classifier,This move acknowledges that the author misread the parent.,"Does this move acknowledge that the author misread or misunderstood the parent (or a prior move), and offer a corrected reading?","The move signals 'oh, I misread that' / 'I had you wrong' / 'sorry, I thought you meant X' and provides a corrected reading or revised response.",Acknowledges misread,(none),"The move continues responding to a misread without acknowledging, or challenges the parent on substance, or offers a candidate understanding without acknowledging prior misreading.",not observed / did not fire,(none),Acknowledges misread; Misread; This move acknowledges that the author misread the parent.,future-source (not rendered in v1)
C,misunderstanding_repair,Where it clears up confusion,true,flags_ambiguous_reference,Flags ambiguous reference,Ref?,future_source,ai_classifier,This move flags an ambiguous reference in the parent.,"Does this move flag an ambiguous reference (pronoun, demonstrative, or referring expression) in the parent and ask which referent was meant?","The parent contained an ambiguous reference ('this', 'they', 'it' with unclear antecedent). The move identifies the ambiguity and asks which referent the parent meant.",Flags ambiguous reference,(none),"The move asks for general clarification (requests_clarification), challenges the substance, or refers to a clearly-grounded antecedent.",not observed / did not fire,(none),Flags ambiguous reference; Ref?; This move flags an ambiguous reference in the parent.,future-source (not rendered in v1)
C,misunderstanding_repair,Where it clears up confusion,true,flags_term_ambiguity,Flags term ambiguity,Term?,future_source,ai_classifier,This move flags an ambiguous term in the parent.,Does this move flag a specific term in the parent as ambiguous (more than one meaning) and ask which meaning was intended?,"The move identifies an ambiguous term ('infrastructure', 'efficiency', 'works') and notes the term could mean A, B, or C, then asks which the parent meant. More specific than requests_clarification.",Flags term ambiguity,(none),"The move asks for general clarification, requests a definition without naming the ambiguity, or disputes the term's definition (disputes_definition).",not observed / did not fire,(none),Flags term ambiguity; Term?; This move flags an ambiguous term in the parent.,future-source (not rendered in v1)
C,misunderstanding_repair,Where it clears up confusion,true,proposes_shared_definition,Proposes shared definition,Def?,future_source,ai_classifier,This move proposes a shared definition for a term.,"Does this move propose a shared definition for a term in dispute, asking the parent to accept or modify the proposal?",The move offers a specific definition with the framing 'could we use this definition?' or 'let me propose X means Y for purposes of this discussion'. Collaborative grounding move.,Proposes shared definition,(none),"The move asserts a definition without inviting acceptance (disputes_definition or challenges_parent), or asks for a definition (requests_clarification), or flags ambiguity without proposing (flags_term_ambiguity).",not observed / did not fire,(none),Proposes shared definition; Def?; This move proposes a shared definition for a term.,future-source (not rendered in v1)
C,misunderstanding_repair,Where it clears up confusion,true,confirms_shared_definition,Confirms shared definition,Def OK,future_source,ai_classifier,This move accepts a shared definition proposed earlier.,"Does this move accept a shared definition that was proposed earlier, sealing the grounding agreement?",Parent (or earlier move) proposed a shared definition. The move confirms the definition for purposes of the discussion: 'works for me'; 'I can work with that'; 'agreed'.,Confirms shared definition,(none),"The move accepts with modifications (proposes_shared_definition counterproposal), rejects, or ignores the definition proposal.",not observed / did not fire,(none),Confirms shared definition; Def OK; This move accepts a shared definition proposed earlier.,future-source (not rendered in v1)
C,misunderstanding_repair,Where it clears up confusion,true,scope_mismatch_identified,Scope mismatch,Scope?,future_source,ai_classifier,This move identifies a scope mismatch between participants.,"Does this move identify that the participants are talking about different scopes (e.g., 'I am talking about X cases; you are talking about Y cases') and propose resolving the mismatch?","The move recognizes that the disagreement is partly a scope mismatch and surfaces the mismatch: 'I think we are talking about different time windows'; 'you are talking about urban; I am talking about national'. Repair-flavored, NOT adversarial.",Scope mismatch,(none),"The move disputes scope adversarially (disputes_scope, Family B), refines scope on one side (refines_parent), or argues within a single scope.",not observed / did not fire,(none),Scope mismatch; Scope?; This move identifies a scope mismatch between participants.,future-source (not rendered in v1)
C,misunderstanding_repair,Where it clears up confusion,true,question_answer_mismatch,Q-A mismatch,Q-A?,future_source,ai_classifier,This move notes that the parent's response did not match the question asked.,"Does this move identify that a prior answer did not actually address the question that was asked, and ask for the question to be addressed?","The move points out a Q-A mismatch: 'the question was X but your answer was about Y'; 'you addressed scope but I was asking about magnitude'. Repair-flavored, asks for the actual question to be answered.",Q-A mismatch,(none),"The move accepts the answer and asks a follow-up question, or challenges the answer's substance (challenges_parent), or asks a new question (questions_parent).",not observed / did not fire,(none),Q-A mismatch; Q-A?; This move notes that the parent's response did not match the question asked.,future-source (not rendered in v1)
