mapping_id,generated_at,family_key,family_label,family_status,rule_kind,aggregation_family,cross_family_context,required_true_flags,required_false_flags,logic_expression,schema_action,observation_code,label_short,label_neutral,label_supportive,label_technical,diagnostic_sentence,graham_dh_level,graham_dh_label,hitods_alignment,cognitive_epistemic_score_estimate,social_emotional_threat_score_estimate,expert_disagreement_dimension,expert_disagreement_type,walton_scheme_alignment,learning_signal,card_surface_visibility,timeline_surface_visibility,display_priority,confidence_weight,rationale,critical_question_prompt,safety_note,test_suggestion,implementation_notes
MBOM-00013,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_true,within_family,,adds_supporting_reason,,adds_supporting_reason=yes,fits_existing_or_planned_boolean_answers,parent_relation.single_true.0013,Adds supporting reason observed,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0013,"When adds_supporting_reason=yes, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,information_related,definition or scope mismatch,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,"The single positive boolean is enough to produce a diagnostic label, but not enough to decide correctness.",Does this reply instantiate contradiction or weak denial under Parent Relation because adds_supporting_reason=yes?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_true.0013 fires only for adds_supporting_reason=yes; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00014,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_false,within_family,,,adds_supporting_reason,adds_supporting_reason=no,fits_existing_or_planned_boolean_answers,parent_relation.single_false.0014,Adds supporting reason absent,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0014,"When adds_supporting_reason=no, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,information_related,method or measurement difference,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,The negative boolean is informative because it excludes a stronger or more specific reading.,Does this reply instantiate contradiction or weak denial under Parent Relation because adds_supporting_reason=no?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_false.0014 fires only for adds_supporting_reason=no; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00015,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_true,within_family,,offers_counter_reason,,offers_counter_reason=yes,fits_existing_or_planned_boolean_answers,parent_relation.single_true.0015,Offers counter-reason observed,Reasoned disagreement,This reply gives some reasoning and can support productive disagreement.,parent_relation::dh4::0015,"When offers_counter_reason=yes, show: This reply gives some reasoning and can support productive disagreement.",DH4,Counterargument,HiTODS yellow-green / reasoned disagreement,3,2,information_related,claim-evidence fit,argument_quality_or_refutation_form,productive_counterargument,card_default_visible,timeline_tap_to_reveal,84,0.71,"The single positive boolean is enough to produce a diagnostic label, but not enough to decide correctness.",Does this reply instantiate counterargument under Parent Relation because offers_counter_reason=yes?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_true.0015 fires only for offers_counter_reason=yes; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00016,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_false,within_family,,,offers_counter_reason,offers_counter_reason=no,fits_existing_or_planned_boolean_answers,parent_relation.single_false.0016,Offers counter-reason absent,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0016,"When offers_counter_reason=no, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,information_related,evidence quality issue,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,The negative boolean is informative because it excludes a stronger or more specific reading.,Does this reply instantiate contradiction or weak denial under Parent Relation because offers_counter_reason=no?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_false.0016 fires only for offers_counter_reason=no; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00017,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_true,within_family,,asks_clarifying_question,,asks_clarifying_question=yes,fits_existing_or_planned_boolean_answers,parent_relation.single_true.0017,Asks clarifying question observed,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0017,"When asks_clarifying_question=yes, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,uncertainty_related,evolving evidence,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,"The single positive boolean is enough to produce a diagnostic label, but not enough to decide correctness.",Does this reply instantiate contradiction or weak denial under Parent Relation because asks_clarifying_question=yes?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_true.0017 fires only for asks_clarifying_question=yes; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00018,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_false,within_family,,,asks_clarifying_question,asks_clarifying_question=no,fits_existing_or_planned_boolean_answers,parent_relation.single_false.0018,Asks clarifying question absent,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0018,"When asks_clarifying_question=no, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,uncertainty_related,risk tradeoff,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,The negative boolean is informative because it excludes a stronger or more specific reading.,Does this reply instantiate contradiction or weak denial under Parent Relation because asks_clarifying_question=no?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_false.0018 fires only for asks_clarifying_question=no; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00019,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_true,within_family,,acknowledges_parent_strength,,acknowledges_parent_strength=yes,requires_sql_or_json_schema_extension,parent_relation.single_true.0019,Acknowledges parent strength before disagreeing observed,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0019,"When acknowledges_parent_strength=yes, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,uncertainty_related,contextual applicability,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,"The single positive boolean is enough to produce a diagnostic label, but not enough to decide correctness.",Does this reply instantiate contradiction or weak denial under Parent Relation because acknowledges_parent_strength=yes?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_true.0019 fires only for acknowledges_parent_strength=yes; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00020,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_false,within_family,,,acknowledges_parent_strength,acknowledges_parent_strength=no,requires_sql_or_json_schema_extension,parent_relation.single_false.0020,Acknowledges parent strength before disagreeing absent,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0020,"When acknowledges_parent_strength=no, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,uncertainty_related,complexity or uncertainty,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,The negative boolean is informative because it excludes a stronger or more specific reading.,Does this reply instantiate contradiction or weak denial under Parent Relation because acknowledges_parent_strength=no?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_false.0020 fires only for acknowledges_parent_strength=no; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00021,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_true,within_family,,compares_parent_to_sibling_branch,,compares_parent_to_sibling_branch=yes,requires_sql_or_json_schema_extension,parent_relation.single_true.0021,Compares parent with sibling branch observed,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0021,"When compares_parent_to_sibling_branch=yes, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,information_related,definition or scope mismatch,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,"The single positive boolean is enough to produce a diagnostic label, but not enough to decide correctness.",Does this reply instantiate contradiction or weak denial under Parent Relation because compares_parent_to_sibling_branch=yes?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_true.0021 fires only for compares_parent_to_sibling_branch=yes; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00022,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_false,within_family,,,compares_parent_to_sibling_branch,compares_parent_to_sibling_branch=no,requires_sql_or_json_schema_extension,parent_relation.single_false.0022,Compares parent with sibling branch absent,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0022,"When compares_parent_to_sibling_branch=no, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,information_related,method or measurement difference,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,The negative boolean is informative because it excludes a stronger or more specific reading.,Does this reply instantiate contradiction or weak denial under Parent Relation because compares_parent_to_sibling_branch=no?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_false.0022 fires only for compares_parent_to_sibling_branch=no; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00023,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_true,within_family,,identifies_parent_scope_limit,,identifies_parent_scope_limit=yes,requires_sql_or_json_schema_extension,parent_relation.single_true.0023,Identifies scope limit in parent observed,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0023,"When identifies_parent_scope_limit=yes, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,uncertainty_related,contextual applicability,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,"The single positive boolean is enough to produce a diagnostic label, but not enough to decide correctness.",Does this reply instantiate contradiction or weak denial under Parent Relation because identifies_parent_scope_limit=yes?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_true.0023 fires only for identifies_parent_scope_limit=yes; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00024,2026-06-07T01:38:09Z,parent_relation,Parent Relation,production_enabled_existing_family,single_false,within_family,,,identifies_parent_scope_limit,identifies_parent_scope_limit=no,requires_sql_or_json_schema_extension,parent_relation.single_false.0024,Identifies scope limit in parent absent,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,parent_relation::dh3::0024,"When identifies_parent_scope_limit=no, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,uncertainty_related,complexity or uncertainty,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,The negative boolean is informative because it excludes a stronger or more specific reading.,Does this reply instantiate contradiction or weak denial under Parent Relation because identifies_parent_scope_limit=no?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert parent_relation.single_false.0024 fires only for identifies_parent_scope_limit=no; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00025,2026-06-07T01:38:09Z,disagreement_axis,Disagreement Axis,production_enabled_existing_family,single_true,within_family,,expresses_disagreement,,expresses_disagreement=yes,fits_existing_or_planned_boolean_answers,disagreement_axis.single_true.0025,Expresses disagreement observed,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,disagreement_axis::dh3::0025,"When expresses_disagreement=yes, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,information_related,definition or scope mismatch,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,"The single positive boolean is enough to produce a diagnostic label, but not enough to decide correctness.",Does this reply instantiate contradiction or weak denial under Disagreement Axis because expresses_disagreement=yes?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert disagreement_axis.single_true.0025 fires only for expresses_disagreement=yes; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
MBOM-00026,2026-06-07T01:38:09Z,disagreement_axis,Disagreement Axis,production_enabled_existing_family,single_false,within_family,,,expresses_disagreement,expresses_disagreement=no,fits_existing_or_planned_boolean_answers,disagreement_axis.single_false.0026,Expresses disagreement absent,Unsupported or lightly supported disagreement,This reply states opposition but may need more reasons or evidence.,disagreement_axis::dh3::0026,"When expresses_disagreement=no, show: This reply states opposition but may need more reasons or evidence.",DH3,Contradiction or weak denial,HiTODS orange-yellow / simple disagreement,1.5,2.5,information_related,method or measurement difference,argument_quality_or_refutation_form,low_information_disagreement,card_default_visible,timeline_tap_to_reveal,102,0.6,The negative boolean is informative because it excludes a stronger or more specific reading.,Does this reply instantiate contradiction or weak denial under Disagreement Axis because expresses_disagreement=no?,"Display-only machine observation. Do not block, reject, suppress, route, or delay a post from this rule.",Assert disagreement_axis.single_false.0026 fires only for expresses_disagreement=no; card page visible by default; timeline tap-to-reveal.,"Store as mapping metadata; if schema_action requires extension, add a boolean answer column or JSON key only through an operator-gated migration."
