family_key,family_status,boolean_flag,plain_language,flag_category,schema_status,primary_dimension,default_dh_hint,migration_recommendation,why_it_may_improve_engagement
disagreement_axis,production_enabled_existing_family,attacks_author_or_group,Attacks author or group,face_attack,existing_or_planned_family_boolean,informant_related,DH1,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_axis,production_enabled_existing_family,uses_aggravating_language,Uses aggravating language,face_attack,existing_or_planned_family_boolean,informant_related,DH1,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_axis,production_enabled_existing_family,hedges_or_mitigates,Hedges or mitigates criticism,mitigation,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_axis,production_enabled_existing_family,proposes_alternative,Proposes alternative,alternative,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_axis,production_enabled_existing_family,isolates_main_disagreement,Isolates exact disagreement point,centrality,proposed_new_boolean,information_related,DH5,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_axis,production_enabled_existing_family,distinguishes_fact_value_disagreement,Distinguishes fact versus value disagreement,scope,proposed_new_boolean,uncertainty_related,DH5,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_axis,production_enabled_existing_family,preserves_face_while_disagreeing,Preserves face while disagreeing,mitigation,proposed_new_boolean,uncertainty_related,DH4,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
misunderstanding_repair,production_enabled_existing_family,signals_confusion,Signals confusion,repair,existing_or_planned_family_boolean,uncertainty_related,DH3,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
misunderstanding_repair,production_enabled_existing_family,asks_for_clarification,Asks for clarification,repair,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
misunderstanding_repair,production_enabled_existing_family,restates_other_position,Restates the other position,repair,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
misunderstanding_repair,production_enabled_existing_family,checks_understanding,Checks understanding,repair,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
misunderstanding_repair,production_enabled_existing_family,corrects_misread,Corrects a misreading,repair,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
misunderstanding_repair,production_enabled_existing_family,acknowledges_possible_misunderstanding,Acknowledges possible misunderstanding,mitigation,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
misunderstanding_repair,production_enabled_existing_family,uses_charitable_reframe,Uses charitable reframe,mitigation,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
misunderstanding_repair,production_enabled_existing_family,ignores_correction,Ignores correction,drift,existing_or_planned_family_boolean,information_related,DH3,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
misunderstanding_repair,production_enabled_existing_family,escalates_misread,Escalates misreading,face_attack,existing_or_planned_family_boolean,informant_related,DH1,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
misunderstanding_repair,production_enabled_existing_family,offers_repair_path,Offers repair path,repair,proposed_new_boolean,uncertainty_related,DH4,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
misunderstanding_repair,production_enabled_existing_family,names_ambiguity_source,Names ambiguity source,clarity_gap,proposed_new_boolean,uncertainty_related,DH4,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
misunderstanding_repair,production_enabled_existing_family,accepts_correction,Accepts correction,mitigation,proposed_new_boolean,uncertainty_related,DH4,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
evidence_source_chain,production_enabled_existing_family,requests_source,Requests a source,evidence,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
evidence_source_chain,production_enabled_existing_family,cites_source,Cites a source,evidence,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
evidence_source_chain,production_enabled_existing_family,source_is_specific,Source is inspectable,evidence,existing_or_planned_family_boolean,information_related,DH5,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
evidence_source_chain,production_enabled_existing_family,source_is_primary,Source is primary or close to record,evidence,existing_or_planned_family_boolean,information_related,DH5,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
evidence_source_chain,production_enabled_existing_family,evidence_matches_claim,Evidence matches claim scope,evidence,existing_or_planned_family_boolean,information_related,DH5,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
evidence_source_chain,production_enabled_existing_family,distinguishes_uncertainty,Distinguishes uncertainty,uncertainty,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
evidence_source_chain,production_enabled_existing_family,overstates_source,Overstates source support,drift,existing_or_planned_family_boolean,information_related,DH3,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
evidence_source_chain,production_enabled_existing_family,relies_on_anecdote,Relies on anecdote,evidence,existing_or_planned_family_boolean,information_related,DH3,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
evidence_source_chain,production_enabled_existing_family,identifies_conflicting_evidence,Identifies conflicting evidence,uncertainty,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
evidence_source_chain,production_enabled_existing_family,names_method_difference,Names method or measurement difference,evidence,proposed_new_boolean,information_related,DH5,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
evidence_source_chain,production_enabled_existing_family,separates_observation_from_inference,Separates observation from inference,evidence,proposed_new_boolean,information_related,DH5,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
evidence_source_chain,production_enabled_existing_family,flags_context_limit,Flags context or applicability limit,uncertainty,proposed_new_boolean,uncertainty_related,DH4,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
argument_scheme,production_enabled_existing_family,has_premise_conclusion,Has premise-conclusion structure,scheme,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
argument_scheme,production_enabled_existing_family,cause_effect_language,Cause-to-effect reasoning,scheme,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
argument_scheme,production_enabled_existing_family,consequence_language,Argument from consequences,scheme,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
argument_scheme,production_enabled_existing_family,goal_action_reasoning,Practical goal-action reasoning,scheme,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
argument_scheme,production_enabled_existing_family,example_generalization,Example-to-generalization reasoning,scheme,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
argument_scheme,production_enabled_existing_family,verbal_classification_pattern,Verbal classification pattern,scheme,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
argument_scheme,production_enabled_existing_family,analogy_pattern,Analogy pattern,scheme,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
argument_scheme,production_enabled_existing_family,authority_claim,Authority or expertise claim,scheme,existing_or_planned_family_boolean,informant_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
argument_scheme,production_enabled_existing_family,numeric_generalization,Numeric generalization,scheme,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
argument_scheme,production_enabled_existing_family,linked_premise_structure,Linked premise structure,scheme,proposed_new_boolean,information_related,DH5,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
argument_scheme,production_enabled_existing_family,convergent_premise_structure,Convergent premise structure,scheme,proposed_new_boolean,information_related,DH5,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
argument_scheme,production_enabled_existing_family,enthymeme_gap_detected,Enthymeme gap detected,scheme,proposed_new_boolean,uncertainty_related,DH4,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
critical_question,production_enabled_existing_family,raises_critical_question,Raises critical question,question,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
critical_question,production_enabled_existing_family,question_targets_premise,Question targets premise,question,existing_or_planned_family_boolean,information_related,DH5,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
critical_question,production_enabled_existing_family,question_targets_inference,Question targets inference,question,existing_or_planned_family_boolean,information_related,DH5,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
critical_question,production_enabled_existing_family,question_requests_definition,Question requests definition,question,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
critical_question,production_enabled_existing_family,question_requests_evidence,Question requests evidence,question,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
critical_question,production_enabled_existing_family,question_targets_consequence,Question targets consequence,question,existing_or_planned_family_boolean,information_related,DH5,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
critical_question,production_enabled_existing_family,question_is_loaded,Question is loaded,face_attack,existing_or_planned_family_boolean,informant_related,DH2,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
critical_question,production_enabled_existing_family,question_is_answerable,Question is answerable,question,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
critical_question,production_enabled_existing_family,question_keeps_focus,Question keeps focus,transactivity,existing_or_planned_family_boolean,information_related,DH5,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
critical_question,production_enabled_existing_family,question_names_uncertainty,Question names uncertainty source,uncertainty,proposed_new_boolean,uncertainty_related,DH4,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
critical_question,production_enabled_existing_family,question_separates_claim_evidence,Question separates claim from evidence,evidence,proposed_new_boolean,information_related,DH5,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
critical_question,production_enabled_existing_family,question_invites_revision,Question invites revision rather than closure,mitigation,proposed_new_boolean,uncertainty_related,DH4,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
resolution_progress,production_enabled_existing_family,offers_resolution_path,Offers resolution path,resolution,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
resolution_progress,production_enabled_existing_family,narrows_scope,Narrows scope,resolution,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
resolution_progress,production_enabled_existing_family,identifies_common_ground,Identifies common ground,mitigation,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
resolution_progress,production_enabled_existing_family,summarizes_positions,Summarizes positions,resolution,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
resolution_progress,production_enabled_existing_family,proposes_test,Proposes test or threshold,resolution,existing_or_planned_family_boolean,uncertainty_related,DH5,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
resolution_progress,production_enabled_existing_family,concedes_point,Concedes bounded point,mitigation,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
resolution_progress,production_enabled_existing_family,reopens_settled_point,Reopens settled point,drift,existing_or_planned_family_boolean,information_related,DH3,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
resolution_progress,production_enabled_existing_family,moves_to_meta_dispute,Moves to meta-dispute,drift,existing_or_planned_family_boolean,informant_related,DH2,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
resolution_progress,production_enabled_existing_family,preserves_face,Preserves face,mitigation,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
resolution_progress,production_enabled_existing_family,records_remaining_disagreement,Records remaining disagreement,resolution,proposed_new_boolean,uncertainty_related,DH4,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
resolution_progress,production_enabled_existing_family,defines_next_evidence_needed,Defines next evidence needed,resolution,proposed_new_boolean,information_related,DH5,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
resolution_progress,production_enabled_existing_family,separates_normative_from_empirical,Separates normative from empirical dispute,scope,proposed_new_boolean,uncertainty_related,DH5,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_strategy_hitods,proposed_new_family,complex_counterargument,Complex counterargument,hitods_green,proposed_new_boolean,information_related,DH6,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_strategy_hitods,proposed_new_family,dismantle_core_reasoning,Dismantles core reasoning,hitods_green,proposed_new_boolean,information_related,DH6,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_strategy_hitods,proposed_new_family,grounded_disagreement,Grounded disagreement,hitods_green,proposed_new_boolean,information_related,DH4,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_strategy_hitods,proposed_new_family,mitigated_disagreement,Mitigated disagreement,hitods_green,proposed_new_boolean,uncertainty_related,DH4,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_strategy_hitods,proposed_new_family,joking_in_context,Joking that keeps topic focus,hitods_green,proposed_new_boolean,uncertainty_related,DH4,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_strategy_hitods,proposed_new_family,reasoned_direct_denial,Reasoned direct denial,hitods_yellow,proposed_new_boolean,information_related,DH4,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_strategy_hitods,proposed_new_family,proposing_alternative,Proposing alternative,hitods_yellow,proposed_new_boolean,uncertainty_related,DH4,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_strategy_hitods,proposed_new_family,deafening_silence,Deafening silence / non-response,hitods_yellow,proposed_new_boolean,uncertainty_related,DH2,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_strategy_hitods,proposed_new_family,agree_to_disagree,Agree to disagree without resolving,hitods_orange,proposed_new_boolean,uncertainty_related,DH3,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_strategy_hitods,proposed_new_family,breakdown_of_dialogicity,Breakdown of dialogicity,hitods_orange,proposed_new_boolean,information_related,DH2,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_strategy_hitods,proposed_new_family,unreasoned_direct_denial,Unreasoned direct denial,hitods_orange,proposed_new_boolean,information_related,DH3,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_strategy_hitods,proposed_new_family,ordering_or_commanding,Ordering or commanding,hitods_red,proposed_new_boolean,informant_related,DH1,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_strategy_hitods,proposed_new_family,irrelevancy_claim,Irrelevancy claim,hitods_red,proposed_new_boolean,information_related,DH2,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_strategy_hitods,proposed_new_family,ironic_echoing,Ironic echoing,hitods_red,proposed_new_boolean,informant_related,DH1,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_strategy_hitods,proposed_new_family,blatant_aggressive_denial,Blatant or aggressive denial,hitods_red,proposed_new_boolean,informant_related,DH1,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_strategy_hitods,proposed_new_family,name_calling,Name-calling,hitods_red,proposed_new_boolean,informant_related,DH0,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_strategy_hitods,proposed_new_family,tone_response_without_substance,Tone response without substance,hitods_orange,proposed_new_boolean,informant_related,DH2,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
disagreement_strategy_hitods,proposed_new_family,central_refutation,Central refutation,hitods_green,proposed_new_boolean,information_related,DH6,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
claim_clarity,frozen_display_only_existing_family,central_claim_explicit,Central claim explicit,clarity,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
claim_clarity,frozen_display_only_existing_family,scope_bounded,Scope bounded,clarity,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
claim_clarity,frozen_display_only_existing_family,qualifiers_present,Qualifiers present,uncertainty,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
claim_clarity,frozen_display_only_existing_family,ambiguous_terms_present,Ambiguous terms present,clarity_gap,existing_or_planned_family_boolean,information_related,DH3,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
claim_clarity,frozen_display_only_existing_family,missing_premise_detected,Missing premise detected,enthymeme,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
claim_clarity,frozen_display_only_existing_family,normative_claim,Normative claim,scheme,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
claim_clarity,frozen_display_only_existing_family,causal_claim,Causal claim,scheme,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
claim_clarity,frozen_display_only_existing_family,definition_needed,Definition needed,clarity_gap,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
claim_clarity,frozen_display_only_existing_family,contains_absolute_quantifier,Contains absolute quantifier,clarity_gap,proposed_new_boolean,uncertainty_related,DH3,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
claim_clarity,frozen_display_only_existing_family,contains_vague_comparison,Contains vague comparison,clarity_gap,proposed_new_boolean,uncertainty_related,DH3,candidate_jsonb_key_or_boolean_column,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
thread_topology,frozen_display_only_existing_family,reply_to_parent,Reply to parent,topology,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
thread_topology,frozen_display_only_existing_family,multiple_branches,Multiple active branches,topology,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
thread_topology,frozen_display_only_existing_family,active_subthread,Active subthread,topology,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
thread_topology,frozen_display_only_existing_family,duplicate_topic,Duplicate topic,topology,existing_or_planned_family_boolean,information_related,DH3,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
thread_topology,frozen_display_only_existing_family,unresolved_leaf,Unresolved leaf,topology,existing_or_planned_family_boolean,uncertainty_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
thread_topology,frozen_display_only_existing_family,cross_thread_reference,Cross-thread reference,topology,existing_or_planned_family_boolean,information_related,DH4,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
thread_topology,frozen_display_only_existing_family,reply_depth_high,Reply depth high,topology,existing_or_planned_family_boolean,uncertainty_related,DH3,no_new_schema_if_already_returned_by_classifier,"Enables more personal, decisive, and specific diagnostic labels while remaining display-only."
